STORE_NAME,longitude,latitude,ADDRESS,ADDRESS2,CITY,STATE,ZIP5,zip4,County
Prathers Market,-105.99315,39.221939,301 US Highway 285,,Fairplay,CO,80440,,PARK 
Morning Fresh Dairy Farm LLC,-105.18399,40.648872,5821 W County Road 54 E,,Bellvue,CO,80512,7109,LARIMER 
Walgreens 04596,-104.75772,38.804783,1920 S Chelton Rd,,Colorado Springs,CO,80910,,EL PASO 
Walgreens 04043,-104.77592,38.846558,920 N Circle Dr,,Colorado Springs,CO,80909,5038,EL PASO 
Walgreens 09212,-104.74051,40.422363,3700 W 10th St,,Greeley,CO,80634,1819,WELD 
Kirk Supers,-102.59211,39.61208,2985 County Road M,,Kirk,CO,80824,9501,YUMA 
Walmart 3313,-104.86202,39.593155,10900 E Briarwood Ave,,Centennial,CO,80112,3820,ARAPAHOE 
Safeway 2722,-105.07329,39.48447,8335 N Rampart Range Rd,,Littleton,CO,80125,,DOUGLAS 
Loaf N Jug 601,-104.72531,38.729446,7055 Alegre Cir,,Fountain,CO,80817,,EL PASO 
Target Stores T- 1976,-104.72368,39.582397,7400 S Gartrell Rd,,Aurora,CO,80016,4236,ARAPAHOE 
Boulder Vitamin Cottage,-105.09121,39.986862,100 W South Boulder Rd,,Lafayette,CO,80026,8835,BOULDER 
Petes Fruits & Vegetables,-104.92192,39.713062,5600 E Cedar Ave,,Denver,CO,80224,1010,DENVER 
JRs Country Store 612,-102.12177,38.053303,118 E Colorado St,,Holly,CO,81047,,PROWERS 
Seubert Super,-102.86974,39.301311,103 Colorado Ave,,Seibert,CO,80834,,KIT CARSON 
Walgreens 04709,-104.74242,38.752369,280 Main St,,Colorado Springs,CO,80911,1712,EL PASO 
Walgreens 06731,-104.74749,38.839306,4305 E Platte Ave,,Colorado Springs,CO,80915,4104,EL PASO 
Walgreens 09564,-105.10961,40.407295,2370 W Eisenhower Blvd,,Loveland,CO,80537,3150,LARIMER 
Walgreens 09569,-104.70168,38.326141,958 Hailey Ln,,Pueblo West,CO,81007,4438,PUEBLO 
Walgreens 09568,-104.62796,38.266068,1520 W 4th St,,Pueblo,CO,81004,1207,PUEBLO 
Kremmling Mercantile,-106.39819,40.059586,101 Martin Way,,Kremmling,CO,80459,,GRAND 
Walgreens 06986,-104.86515,39.711159,10601 E Alameda Ave,,Aurora,CO,80012,6490,ARAPAHOE 
Walgreens 09199,-104.60481,38.939743,7392 McLaughlin Rd,,Peyton,CO,80831,4713,EL PASO 
Walgreens 09567,-104.97281,39.678539,1235 E Evans Ave,,Denver,CO,80210,4531,DENVER 
Walgreens 04721,-104.64477,38.244015,2900 W Northern Ave,,Pueblo,CO,81005,2315,PUEBLO 
Walgreens 07777,-104.84975,38.848072,625 N 19th St,,Colorado Springs,CO,80904,3459,EL PASO 
Papa Murphys Pizza,-105.11768,39.689728,1535 S Kipling Pkwy,Unit G1,Lakewood,CO,80232,6258,JEFFERSON 
Vitamin Cottage Natural Food Market,-104.82895,39.099094,1216 W Baptist Rd,,Monument,CO,80132,9161,EL PASO 
Walgreens 07927,-105.13091,40.190811,1770 Hover St,,Longmont,CO,80501,7174,BOULDER 
Walgreens 09315,-104.94255,40.160618,5962 Firestone Blvd,,Firestone,CO,80504,6606,WELD 
Walgreens 10070,-104.91388,39.678398,6360 E Evans Ave,,Denver,CO,80222,5808,DENVER 
King Soopers 97,-105.0389,40.551579,2602 S Timberline Rd,,Fort Collins,CO,80525,2401,LARIMER 
Walgreens 03500,-104.9035,39.69973,950 S Quebec St,,Denver,CO,80247,2003,ARAPAHOE 
Walgreens 04307,-104.84749,39.696709,12051 E Mississippi Ave,,Aurora,CO,80012,2834,ARAPAHOE 
Walgreens 04610,-104.77565,39.653149,18461 E Hampden Ave,,Aurora,CO,80013,3509,ARAPAHOE 
Walgreens 05261,-104.76872,39.536942,19028 Lincoln Ave,,Parker,CO,80134,9381,DOUGLAS 
Florida Market LLC,-105.0434,39.689518,4393 W Florida Ave,,Denver,CO,80219,3735,DENVER 
Walgreens 03585,-104.86403,38.928928,6820 Centennial Blvd,,Colorado Springs,CO,80919,5114,EL PASO 
Walgreens 03586,-104.75714,38.881802,3480 N Academy Blvd,,Colorado Springs,CO,80917,5086,EL PASO 
Friendly Market,-105.00646,39.771683,1700 W 40th Ave,,Denver,CO,80211,2231,DENVER 
Kum & Go 905,-107.65253,39.546993,905 Main St,,Silt,CO,81652,8726,GARFIELD 
Viet Hoa Supermarket,-105.05333,39.712601,225 S Sheridan Blvd,B,Lakewood,CO,80226,3591,JEFFERSON 
Lowell Mart,-105.03454,39.821232,6855 Lowell Blvd,,Denver,CO,80221,2652,ADAMS 
King Soopers 132,-104.82829,39.374981,750 N Ridge Rd,,Castle Rock,CO,80104,8950,DOUGLAS 
Whole Foods Market,-104.90162,39.653095,7400 E Hampden Ave,Unit D-1,Denver,CO,80231,4887,DENVER 
Walgreens 03914,-104.72153,38.871906,5755 Constitution Ave,,Colorado Springs,CO,80915,1220,EL PASO 
Walgreens 07022,-104.70142,38.717701,7910 Fountain Mesa Rd,,Fountain,CO,80817,1532,EL PASO 
Target Stores T- 0256,-104.79083,39.638382,16910 E Quincy Ave,,Aurora,CO,80015,2745,ARAPAHOE 
Target Stores T- 1413,-104.86591,39.69117,1400 S Havana St,,Aurora,CO,80012,4014,ARAPAHOE 
Target Stores T- 0739,-104.79981,38.793251,1630 E Cheyenne Mountain Blvd,,Colorado Springs,CO,80906,4050,EL PASO 
Target Stores T- 1178,-105.00238,40.409519,1725 Rocky Mountain Ave,,Loveland,CO,80538,8851,LARIMER 
Thomas Produce,-104.44858,38.245171,37143 E US Highway 50,,Pueblo,CO,81006,9468,PUEBLO 
Carniceria Latina LLC,-104.80977,39.675362,2272 S Chambers Rd,,Aurora,CO,80014,4528,ARAPAHOE 
YZ Syracuse Market,-104.89883,39.733753,1131 Syracuse St,,Denver,CO,80220,3222,DENVER 
7-Eleven Store 22537A,-104.97986,39.743111,1690 Pearl St,,Denver,CO,80203,1420,DENVER 
DiTomaso Farms,-104.53666,38.248798,26358 Gale Rd,,Pueblo,CO,81006,9794,PUEBLO 
Haat Bazar,-104.86272,39.668144,2648 S Parker Rd,# 6B,Aurora,CO,80014,1685,ARAPAHOE 
Target Stores T- 2021,-105.10949,39.791901,5171 Kipling St,,Wheat Ridge,CO,80033,2303,JEFFERSON 
Target Stores T- 2023,-104.88216,39.535873,10001 Commons St,,Lone Tree,CO,80124,5547,DOUGLAS 
Target Stores T- 2052,-104.89433,39.785484,7930 Northfield Blvd,,Denver,CO,80238,3527,DENVER 
Walmart SC 5334,-104.77237,39.763702,3301 Tower Rd,,Aurora,CO,80011,3509,ARAPAHOE 
King Soopers 87,-105.29139,39.543106,25637 Conifer Rd,,Conifer,CO,80433,,JEFFERSON 
Loaf N Jug 14,-104.66311,38.245586,1201 Pueblo Boulevard Way,,Pueblo,CO,81005,,PUEBLO 
Vitamin Cottage Natural Food Market,-104.76349,39.509575,11402 S Parker Rd,,Parker,CO,80134,4809,DOUGLAS 
Whole Foods Market 10218,-105.08143,39.707817,444 S Wadsworth Blvd,,Lakewood,CO,80226,3109,JEFFERSON 
Walgreens 9244,-104.71593,40.412651,1641 23rd Ave,,Greeley,CO,80634,6012,WELD 
Walgreens 09565,-105.07674,40.551533,2614 S College Ave,,Fort Collins,CO,80525,2138,LARIMER 
7-Eleven Store 33043A,-104.70064,38.72031,7725 Fountain Mesa Rd,,Fountain,CO,80817,1542,EL PASO 
7-Eleven Store 23546B,-104.80113,38.796028,1402 Harrison Rd,,Colorado Springs,CO,80905,4002,EL PASO 
7-Eleven Store 24460B,-104.74187,38.75214,510 Security Blvd,,Colorado Springs,CO,80911,1730,EL PASO 
7-Eleven Store 33044A,-104.82208,39.674744,14250 E Iliff Ave,,Aurora,CO,80014,1460,ARAPAHOE 
7-Eleven Store 32747B,-104.71548,38.870857,6025 Constitution Ave,,Colorado Springs,CO,80915,1225,EL PASO 
7-Eleven Store 25581B,-105.18478,39.735413,16400 S Golden Rd,Ste C,Golden,CO,80401,7323,JEFFERSON 
Walmart SC 5370,-105.10252,40.204262,2514 Main St,,Longmont,CO,80504,9740,WELD 
Walgreens 07142,-104.71535,38.89407,6075 Barnes Rd,,Colorado Springs,CO,80922,2603,EL PASO 
Walgreens 03266,-105.05331,39.81216,6395 Sheridan Blvd,,Arvada,CO,80003,5231,JEFFERSON 
Walgreens 06514,-104.86411,39.414093,14 E Allen St,,Castle Rock,CO,80108,7840,DOUGLAS 
Walgreens 06987,-104.86217,39.366482,355 S Wilcox St,,Castle Rock,CO,80104,1914,DOUGLAS 
Walgreens 09034,-105.08155,39.817501,6603 Wadsworth Blvd,,Arvada,CO,80003,3945,JEFFERSON 
Walgreens 03583,-104.77604,38.925823,2785 Dublin Blvd,,Colorado Springs,CO,80918,1360,EL PASO 
Walgreens 05262,-104.76962,38.957512,8705 Lexington Dr,,Colorado Springs,CO,80920,4309,EL PASO 
Walgreens 05621,-104.73877,38.920261,6011 Rangewood Dr,,Colorado Springs,CO,80918,7301,EL PASO 
Kum & Go 920,-106.85722,40.501774,2032 Curve Plz,,Steamboat Springs,CO,80487,4912,ROUTT 
7-Eleven Store 13196B,-104.9727,39.653149,1277 E Hampden Ave,,Englewood,CO,80113,2916,ARAPAHOE 
7-Eleven Store 13209B,-104.97519,39.733498,1090 Ogden St,,Denver,CO,80218,2808,DENVER 
Walgreens 01306,-105.12929,39.62431,11605 W Belleview Ave,,Littleton,CO,80127,1538,JEFFERSON 
Target Stores T- 2029,-107.34481,39.556324,110 W Meadows Dr,,Glenwood Springs,CO,81601,8744,GARFIELD 
Brothers Custom Processing,-107.54417,40.50684,383 E 1st St,,Craig,CO,81625,,MOFFAT 
Vitamin Cottage Natural Food Market,-107.34461,39.556561,100 W Meadows Dr,Ste B,Glenwood Springs,CO,81601,8744,GARFIELD 
7-Eleven Store 23172B,-104.98754,39.721149,303 Broadway,,Denver,CO,80203,3920,DENVER 
Green Crest Center,-104.7608,38.886471,3725 Van Teylingen Dr,,Colorado Springs,CO,80917,4806,EL PASO 
Walgreens 09393,-105.22491,38.447201,1609 Fremont Dr,,Canon City,CO,81212,2403,FREMONT 
Walgreens 09561,-105.04433,38.981915,140 Paradise Cir,,Woodland Park,CO,80863,9002,TELLER 
Dollar General 10334,-102.61641,37.390553,27540 US Highway 287,,Springfield,CO,81073,,BACA 
Dollar General 10217,-103.63274,40.255138,1005 Edison St,,Brush,CO,80723,1906,MORGAN 
White River Market,-108.79707,40.08749,609 E Main St,,Rangely,CO,81648,3219,RIO BLANCO 
Papa Murphys Pizza CO033,-104.98873,39.613136,50 W Littleton Blvd,Ste 303,Littleton,CO,80120,2492,ARAPAHOE 
Colorado Farm and Art Market,-104.82367,38.830379,215 S Tejon St,,Colorado Springs,CO,80903,2283,EL PASO 
Walgreens 0403,-107.86623,38.46035,2351 S Townsend Ave,,Montrose,CO,81401,5438,MONTROSE 
7-Eleven Store 23829B,-104.91503,39.827179,6302 E 72nd Ave,,Commerce City,CO,80022,2000,ADAMS 
7-Eleven Store 25823B,-105.03439,39.827553,7201 Lowell Blvd,,Westminster,CO,80030,5301,ADAMS 
7-Eleven Store 13198B,-104.98028,39.711174,607 E Alameda Ave,,Denver,CO,80209,2005,DENVER 
7-Eleven Store 16147B,-105.02534,39.754261,2609 Federal Blvd,,Denver,CO,80211,4716,DENVER 
7-Eleven Store 25907B,-104.94967,39.778854,3200 E 45th Ave,,Denver,CO,80216,4133,DENVER 
Walmart SC 3382,-104.74241,38.338554,78 N McCulloch Blvd,,Pueblo West,CO,81007,4444,PUEBLO 
Walgreens 07253,-104.77033,39.783604,18550 Green Valley Ranch Blvd,,Denver,CO,80249,6831,DENVER 
Carniceria La Pradera 1,-104.92133,39.812801,5640 E 64th Ave,,Commerce City,CO,80022,3313,ADAMS 
7-Eleven Store 26693B,-104.75644,38.939812,3740 Randall Dr,,Colorado Springs,CO,80920,4162,EL PASO 
Boulder County Farmers Market,-105.27957,40.058258,1435 Yarmouth Ave,,Boulder,CO,80304,562,BOULDER 
L&M Grocery Store,-104.79882,39.740326,16251 E Colfax Ave,,Aurora,CO,80011,5951,ARAPAHOE 
Haraf Food Market,-104.87754,39.892399,10774 Belle Creek Blvd,Apt 324,Henderson,CO,80640,7556,ADAMS 
Walgreens 04952,-104.99178,39.549942,9141 S Broadway,,Highlands Ranch,CO,80129,6653,DOUGLAS 
Ranch Foods Direct,-104.80483,38.873966,1228 E Fillmore St,,Colorado Springs,CO,80907,6402,EL PASO 
Athmar Mart,-105.00845,39.696793,1789 W Mississippi Ave,,Denver,CO,80223,3012,DENVER 
12th Avenue Market & Deli,-104.95602,39.735092,2620 E 12th Ave,,Denver,CO,80206,3499,DENVER 
7-Eleven Store 20343B,-104.79412,38.866131,2407 N Union Blvd,,Colorado Springs,CO,80909,1107,EL PASO 
Carniceria Mexicana,-104.87724,39.747364,9508 Montview Blvd,,Aurora,CO,80010,2035,ARAPAHOE 
Zak Market,-104.98203,39.739986,424 E Colfax Ave,,Denver,CO,80203,1909,DENVER 
World Food,-104.8659,39.719517,242 Havana St,Ste C,Aurora,CO,80010,4367,ARAPAHOE 
Walgreens 09979,-103.80133,40.254036,111 E Platte Ave,,Fort Morgan,CO,80701,2128,MORGAN 
Dollar General 10402,-102.71737,40.118504,565 E 8th Ave,,Yuma,CO,80759,,YUMA 
7-Eleven Store 25794A,-104.74091,38.809193,1685 Jet Wing Dr,,Colorado Springs,CO,80916,2258,EL PASO 
7-Eleven Store 33630A,-104.99369,39.7463,820 16th St,Ste 100,Denver,CO,80202,3220,DENVER 
Barn Store,-105.02505,39.664955,2804 S Federal Blvd,,Denver,CO,80236,2614,DENVER 
Dollar General 10574,-104.69089,40.416191,1412 8th Ave,,Greeley,CO,80631,4604,WELD 
Walgreens 09768,-104.75686,38.937485,7390 Rangewood Dr,,Colorado Springs,CO,80918,7701,EL PASO 
Walgreens 09912,-105.87434,37.468235,1203 Main St,,Alamosa,CO,81101,2395,ALAMOSA 
7-Eleven Store 32159C,-104.83534,38.896637,623 Garden of the Gods Rd,,Colorado Springs,CO,80907,3503,EL PASO 
7-Eleven Store 16094A,-104.89649,39.695812,1120 S Parker Rd,,Denver,CO,80231,2126,DENVER 
Mesa Lagrees,-104.53292,38.245144,27050 E US Highway 50,,Pueblo,CO,81006,,PUEBLO 
City Store,-104.98736,39.733902,1100 N Broadway,,Denver,CO,80203,2107,DENVER 
Walmart SC 3227,-104.85043,39.068352,16218 Jackson Creek Pkwy,,Monument,CO,80132,7181,EL PASO 
Walgreens 09769,-108.50061,39.077415,2900 North Ave,,Grand Junction,CO,81504,5315,MESA 
Target Stores T- 48,-105.08199,39.840282,7899 Wadsworth Blvd,,Arvada,CO,80003,2196,JEFFERSON 
Simla Food Store,-104.08501,39.142673,607 Caribou St,,Simla,CO,80835,,ELBERT 
Carniceria Jalisco LLC,-104.97333,39.763401,3300 Downing St,,Denver,CO,80205,3919,DENVER 
Target Stores T- 2183,-104.77701,39.955547,2171 Prairie Center Pkwy,,Brighton,CO,80601,7000,ADAMS 
Target Stores T- 2197,-104.99369,39.95961,14451 Orchard Pkwy,,Westminster,CO,80023,9174,BROOMFIELD 
Target Stores T- 2218,-105.13081,40.153412,551 S Hover St,,Longmont,CO,80501,7920,BOULDER 
Target Stores T- 2219,-104.77339,39.512074,11150 S Twenty Mile Rd,,Parker,CO,80134,4952,DOUGLAS 
7-Eleven Store 21938A,-104.93953,39.696602,4085 E Mississippi Ave,,Denver,CO,80222,,DENVER 
7-Eleven Store 29151A,-105.01416,39.71122,2299 W Alameda Ave,,Denver,CO,80223,1926,DENVER 
7-Eleven Store 29314A,-104.99319,39.885551,10410 Melody Dr,,Northglenn,CO,80234,4110,ADAMS 
7-Eleven Store 29024A,-104.79079,39.700638,880 S Buckley Rd,,Aurora,CO,80017,3174,ARAPAHOE 
JRs Country Store 214,-104.61781,38.320518,615 Eagleridge Blvd,Unit 1,Pueblo,CO,81008,2117,PUEBLO 
Walgreens 07138,-104.75824,39.477505,13143 S Parker Rd,,Parker,CO,80134,3488,DOUGLAS 
Walgreens 10117,-105.19462,39.738049,17222 S Golden Rd,,Golden,CO,80401,2606,JEFFERSON 
Vitamin Cottage Natural Food Market U025,-104.97577,39.772762,3757 Brighton Blvd,,Denver,CO,80216,3614,DENVER 
7-Eleven Store 24359A,-104.95936,39.67271,2410 S University Blvd,,Denver,CO,80210,5408,DENVER 
Holyoke Marketplace,-102.30203,40.586578,112 E Carnahan St,,Holyoke,CO,80734,1007,PHILLIPS 
Dollar General 10606,-104.64362,38.227268,2417 S Prairie Ave,,Pueblo,CO,81005,2886,PUEBLO 
Jacks Market LLC,-104.98083,39.739979,518 E Colfax Ave,,Denver,CO,80203,2018,DENVER 
Dollar Tree 2580,-104.82893,39.711056,13686 E Alameda Ave,Ste A,Aurora,CO,80012,1370,ARAPAHOE 
Dollar Tree 2662,-104.75732,38.845516,855 N Academy Blvd,,Colorado Springs,CO,80909,8307,EL PASO 
Dollar Tree 2668,-105.07378,39.856663,6795 W 88th Ave,,Westminster,CO,80031,2919,ADAMS 
Dollar Tree 2676,-104.8478,38.848,1776 W Uintah St,,Colorado Springs,CO,80904,2958,EL PASO 
Dollar Tree 2690,-104.72771,40.422653,2900 W 10th St,,Greeley,CO,80634,5427,WELD 
Dollar Tree 2692,-105.07738,40.550617,2715 S College Ave,,Fort Collins,CO,80525,2139,LARIMER 
Dollar Tree 2699,-105.07735,40.423187,2979 N Garfield Ave,,Loveland,CO,80538,2211,LARIMER 
Dollar Tree 2711,-105.06984,39.740444,6617 W Colfax Ave,,Lakewood,CO,80214,1805,JEFFERSON 
Dollar Tree 2792,-105.09301,39.614498,8601 W Cross Dr,Unit D,Littleton,CO,80123,2200,JEFFERSON 
Dollar Tree 2886,-104.80701,39.696735,15503 E Mississippi Ave,,Aurora,CO,80017,3042,ARAPAHOE 
Dollar Tree 2901,-104.85326,39.66,3106 S Parker Rd,Ste C2,Aurora,CO,80014,6210,ARAPAHOE 
Dollar Tree 3025,-104.75771,38.792583,2780 S Academy Blvd,Ste 100,Colorado Springs,CO,80916,2804,EL PASO 
Dollar Tree 3075,-104.97794,39.862213,9151 Washington St,,Thornton,CO,80229,4304,ADAMS 
Dollar Tree 3130,-105.22584,38.448189,302 N 16th St Ste A,,Canon City,CO,81212,2490,FREMONT 
Dollar Tree 3193,-105.04407,39.689548,4385 W Florida Ave,,Denver,CO,80219,3735,DENVER 
Target Stores T- 0618,-104.60641,38.303051,3300 Dillon Dr,,Pueblo,CO,81008,1040,PUEBLO 
Walgreens 10308,-105.09495,40.378242,1300 14th St SW,,Loveland,CO,80537,6780,LARIMER 
Walmart SC 3867,-104.99291,39.942959,200 W 136th Ave,,Denver,CO,80234,1204,ADAMS 
Walmart SC 4284,-105.08139,39.722881,440 Wadsworth Blvd,,Lakewood,CO,80226,1510,JEFFERSON 
Walgreens 10370,-108.56413,37.348885,1671 E Main St,,Cortez,CO,81321,3033,MONTEZUMA 
Target Stores T- 1326,-104.85632,39.406887,5010 Founders Pkwy,,Castle Rock,CO,80108,7838,DOUGLAS 
Target Stores T- 1525,-106.07658,39.638035,715 Blue River Pkwy,,Silverthorne,CO,80498,,SUMMIT 
Indochina Market,-105.02513,39.697601,1045 S Federal Blvd,,Denver,CO,80219,4101,DENVER 
7-Eleven Store 23154A,-104.82759,39.638458,13790 E Quincy Ave,,Aurora,CO,80015,1129,ARAPAHOE 
7-Eleven Store 24398A,-104.76588,38.815144,3306 E Fountain Blvd,,Colorado Springs,CO,80910,1732,EL PASO 
Dollar Tree 2572,-104.73359,38.739613,6346 S US Highway 85-87,,Fountain,CO,80817,1006,EL PASO 
Dollar Tree 2704,-105.08154,39.680767,1951 S Wadsworth Blvd,,Lakewood,CO,80227,2434,JEFFERSON 
Save A Lot,-104.69238,40.397293,816 25th St,,Greeley,CO,80631,8424,WELD 
Walgreens 09783,-103.21249,40.625404,101 W Main St,,Sterling,CO,80751,3178,LOGAN 
7-Eleven Store 23888A,-104.8409,38.808716,1702 S 8th St,,Colorado Springs,CO,80905,1927,EL PASO 
7-Eleven Store 22562A,-104.82213,38.806026,1801 S Nevada Ave,,Colorado Springs,CO,80906,2516,EL PASO 
Dollar General 10864,-107.85787,38.488152,1840 E Main St,,Montrose,CO,81401,3840,MONTROSE 
Dollar Tree 3140,-104.70005,38.325657,1024 N Market Plz,,Pueblo West,CO,81007,1530,PUEBLO 
Walgreens 09607,-105.07982,39.566238,7443 W Chatfield Ave,,Littleton,CO,80128,5651,JEFFERSON 
Walgreens 09657,-105.05287,39.740459,5151 W Colfax Ave,,Denver,CO,80204,1016,DENVER 
Walgreens 09566,-105.14275,39.699478,12880 W Alameda Pkwy,,Lakewood,CO,80228,3115,JEFFERSON 
Durango Farmers Market,-107.88239,37.273724,259 W 9th St,,Durango,CO,81301,5442,LA PLATA 
Greeley Farmers Market,-104.68899,40.423901,902 7th Ave,,Greeley,CO,80631,4106,WELD 
Valley Farmers Market,-105.86546,37.468189,State Ave & Main,,Alamosa,CO,81101,,ALAMOSA 
Larimer County Farmers Market,-105.08052,40.585636,200 W Oak St,,Fort Collins,CO,80521,2713,LARIMER 
Conoco,-104.84708,39.770741,3895 Peoria St,,Denver,CO,80239,3313,DENVER 
Dollar General 19435,-105.05321,39.79274,5300 Sheridan Blvd,,Arvada,CO,80002,7018,JEFFERSON 
Onkar Inc,-105.09086,39.810631,6215 Carr St,,Arvada,CO,80004,3449,JEFFERSON 
Woodland Park Farmers Market,-105.05443,38.995335,Center St & Henrietta,,Woodland Park,CO,80863,,TELLER 
Dollar Tree 3188,-105.02515,39.789909,5190 Federal Blvd,,Denver,CO,80221,1142,ADAMS 
7-Eleven Store 13195A,-104.93976,39.729195,4040 E 8th Ave,,Denver,CO,80220,3701,DENVER 
7-Eleven Store 13171A,-105.09592,40.58131,505 S Shields St,,Fort Collins,CO,80521,3557,LARIMER 
Walgreens 07581,-104.90251,39.759388,7311 E 29th Dr,,Denver,CO,80238,2964,DENVER 
Walgreens 10704,-104.8849,39.580685,8959 E Dry Creek Rd,,Centennial,CO,80112,2765,ARAPAHOE 
Sherrys Market,-104.67742,40.402439,101 E 22nd St,,Greeley,CO,80631,6092,WELD 
Woolseys Food Center,-104.30041,39.036453,474 Colorado Ave,,Calhan,CO,80808,,EL PASO 
Dollar General 10971,-104.61731,38.24435,1245 Spruce St,,Pueblo,CO,81004,2942,PUEBLO 
Circle K 2709839,-104.99697,39.915176,12051 Huron St,,Westminster,CO,80234,3433,ADAMS 
Circle K 2709840,-104.81506,38.933521,7055 Commerce Center Dr,,Colorado Spgs,CO,80919,2651,EL PASO 
Circle K 2709841,-104.84428,39.056671,1190 W Baptist Rd,,Colorado Springs,CO,80921,2424,EL PASO 
Circle K 2709844,-104.93977,39.884762,4020 E 104th Ave,,Thornton,CO,80233,4715,ADAMS 
Circle K 2709846,-105.10107,40.190121,10963 I-25 Access Rd W,,Longmont,CO,80501,,BOULDER 
Circle K 2709851,-105.27554,40.016575,1480 Canyon Blvd,,Boulder,CO,80302,5305,BOULDER 
Circle K 2709861,-105.25637,40.000248,2877 Baseline Rd,,Boulder,CO,80303,2311,BOULDER 
Circle K 2709862,-104.99049,39.885048,290 W 104th Ave,,Northglenn,CO,80234,4104,ADAMS 
Circle K 2709865,-105.28207,40.029961,3040 Broadway St,,Boulder,CO,80304,3135,BOULDER 
Circle K 2709881,-104.80052,38.944809,7805 N Academy Blvd,,Colorado Springs,CO,80920,3901,EL PASO 
Circle K 2709885,-105.10978,39.78524,4885 Kipling St,,Wheat Ridge,CO,80033,2247,JEFFERSON 
Circle K 2709887,-104.79572,38.796291,2890 S Circle Dr,,Colorado Spgs,CO,80906,4111,EL PASO 
Circle K 2709888,-105.16832,39.731506,15065 W Colfax Ave,,Lakewood,CO,80401,4015,JEFFERSON 
Circle K 2709889,-105.02515,39.884552,10363 Federal Blvd,,Denver,CO,80260,7431,ADAMS 
Circle K 2709890,-104.79082,39.706142,600 S Buckley Rd,,Aurora,CO,80017,3902,ARAPAHOE 
Circle K 2709900,-105.00378,39.740002,1300 W Colfax Ave,,Denver,CO,80204,2030,DENVER 
Circle K 2709872,-104.82876,39.640011,4200 S Parker Rd,,Aurora,CO,80014,4149,ARAPAHOE 
Circle K 2709852,-104.81057,39.653187,15291 E Hampden Ave,,Aurora,CO,80014,3907,ARAPAHOE 
Circle K 2709864,-104.82824,39.711346,298 S Potomac St,,Aurora,CO,80012,1323,ARAPAHOE 
Circle K 2709899,-104.86593,39.675152,2290 S Havana St,,Aurora,CO,80014,1018,ARAPAHOE 
Asian Pacific Market,-104.73869,38.84156,615 Wooten Rd,Ste 160,Colorado Springs,CO,80915,1504,EL PASO 
Kingston Market,-104.83097,39.675007,13697 E Iliff Ave,Ste 7,Aurora,CO,80014,1313,ARAPAHOE 
Walmart SC 4335,-104.61065,38.937897,11550 Meridian Market Vw,,Falcon,CO,80831,8233,EL PASO 
Sunflower Farmers Market 318,-104.96407,39.566124,1980 E County Line Rd,Unit B,Highlands Ranch,CO,80126,2445,DOUGLAS 
Sunflower Farmers Market 314,-105.04749,39.76936,4700 W 38th Ave,,Denver,CO,80212,2046,DENVER 
Target Stores T- 2221,-104.74405,38.972588,9670 Prominent Pt,,Colorado Springs,CO,80924,5000,EL PASO 
King Soopers 119,-104.75747,38.964417,9225 N Union Blvd,,Colorado Spgs,CO,80920,7826,EL PASO 
Girton Mart,-105.10766,39.655468,9818 W Girton Dr,,Lakewood,CO,80227,4326,JEFFERSON 
Makola African Market,-104.87748,39.747807,2032 Clinton St,,Aurora,CO,80010,1003,ARAPAHOE 
Walsh Community Grocery Store Inc,-102.27828,37.388363,529 Colorado Ave,,Walsh,CO,81090,9900,BACA 
7-Eleven Store 22533C,-104.98794,39.632881,4601 S Broadway,,Englewood,CO,80113,5725,ARAPAHOE 
Walgreens 11862,-105.05796,40.576736,743 S Lemay Ave,,Fort Collins,CO,80524,3251,LARIMER 
Walgreens 11863,-104.87417,38.854343,3143 W Colorado Ave,,Colorado Springs,CO,80904,2040,EL PASO 
Walgreens 11864,-104.85125,38.893242,4315 Centennial Blvd,,Colorado Springs,CO,80907,3769,EL PASO 
Walgreens 07451,-104.79744,39.594818,16440 E Arapahoe Rd,,Foxfield,CO,80016,1514,ARAPAHOE 
Dollar General 10977,-104.84081,38.804787,1785 S 8th St,Ste E,Colorado Springs,CO,80905,1986,EL PASO 
7-Eleven Store 21242A,-104.87618,39.598476,6515 S Dayton St,,Greenwood Village,CO,80111,6121,ARAPAHOE 
7-Eleven Store 25265A,-104.82566,38.874706,201 W Fillmore St,,Colorado Springs,CO,80907,6156,EL PASO 
Valero Corner Store 2744073,-104.83355,38.876732,3115 Sinton Rd,,Colorado Springs,CO,80907,5021,EL PASO 
King Soopers 112,-104.43342,39.73962,1045 S 1st St,,Bennett,CO,80102,7912,ADAMS 
Walgreens 10116,-105.05327,39.657242,3067 S Sheridan Blvd,,Denver,CO,80227,4150,JEFFERSON 
Walgreens 10371,-107.87341,37.294582,2701 Main Ave,,Durango,CO,81301,5921,LA PLATA 
Walmart SC 1008,-105.07949,40.458424,250 W 65th St,,Loveland,CO,80538,4668,LARIMER 
Walmart SC 3805,-105.03939,38.975166,19600 E US Highway 24,Ste 100,Woodland Park,CO,80863,8766,TELLER 
Dollar General 10647,-104.71078,40.520168,355 S Elm Ave,,Eaton,CO,80615,8264,WELD 
Papa Murphys Pizza,-104.84232,39.056705,1012 W Baptist Rd,,Colorado Springs,CO,80921,2402,EL PASO 
Dollar General 10912,-104.84818,40.329971,1740 Broad St,Ste C,Milliken,CO,80543,8504,WELD 
