STORE_NAME,longitude,latitude,ADDRESS,ADDRESS2,CITY,STATE,ZIP5,zip4,County
Mental Health Center Of Denver,-104.93059,39.765621,3401 Eudora St,,Denver,CO,80207,2500,DENVER 
Papa Murphy's Take N Bake Pizza CO-046,-104.8614,39.364235,754 S Perry St,Unit F,Castle Rock,CO,80104,1944,DOUGLAS 
Papa Murphy's Take N Bake Pizza CO-121,-104.86389,39.412308,62 Founders Pkwy,Ste F,Castle Rock,CO,80104,7535,DOUGLAS 
Papa Murphy's Take N Bake Pizza CO-083,-104.88215,39.53635,9231 E Lincoln Ave,Ste 1000,Lone Tree,CO,80124,5510,DOUGLAS 
Papa Murphy's Take N Bake Pizza CO-107,-104.80389,39.598179,6554 S Parker Rd,Unit 111,Aurora,CO,80016,3013,ARAPAHOE 
King Soopers 129,-105.01759,40.000378,1891 State Highway 7,,Erie,CO,80516,8000,BOULDER 
Papa Murphy's Take N Bake Pizza CO-021,-104.94283,39.543549,9559 S University Blvd,Unit 103,Highlands Ranch,CO,80126,7805,DOUGLAS 
Mc Gas & Food,-104.71787,39.559864,1305 S Zante St,,Aurora,CO,80018,4600,ARAPAHOE 
7-eleven 37278A,-104.84228,39.056705,990 W Baptist Rd,,Monument,CO,80132,,EL PASO 
Papa Murphys Take N Bake Pizza CO125,-104.71581,40.384319,3217 23rd Ave,,Evans,CO,80620,1733,WELD 
Su Mercadito,-105.08653,39.917274,1495 Us Highway 287,,Broomfield,CO,80020,1152,BROOMFIELD 
El Paisa Bakery 1,-104.87654,39.74025,9541 E Colfax Ave,,Aurora,CO,80010,2012,ARAPAHOE 
San Jose Bakery,-108.4966,39.078583,507 30 Rd,Ste 1a,Grand Junction,CO,81504,4430,MESA 
K & J Thriftway 710,-106.10842,37.752975,345 Worth Street,,Center,CO,81125,,RIO GRANDE 
U Save Mart,-104.9128,39.81636,6590 Monaco St,,Commerce City,CO,80022,2825,ADAMS 
Asian American Market,-104.85742,39.74025,11201 E Colfax Ave,,Aurora,CO,80010,2515,ARAPAHOE 
Carlie's Convenience,-104.68776,38.849045,1584 Meadowbrook Pkwy,,Colorado Springs,CO,80915,5403,EL PASO 
Corner Store 2744088,-105.02518,39.80772,6140 Federal Blvd,,Denver,CO,80221,2014,ADAMS 
Victoria's Market,-104.77242,39.742359,1650 Tower Rd,,Aurora,CO,80011,5102,ARAPAHOE 
Walgreens 17538,-105.08197,39.682251,7665 W Jewell Ave,,Lakewood,CO,80232,6803,JEFFERSON 
7 ELEVEN 37570A,-104.88401,39.870728,8836 E 96th Ave,,Henderson,CO,80640,8514,ADAMS 
Compare,-104.644,40.073761,630 Cedar Street,,Hudson,CO,80642,,WELD 
"Horizon Drive Shell, LLC",-108.53899,39.112404,745 Horizon Dr,,Grand Junction,CO,81506,3935,MESA 
"Montrose Travel Center, Llc",-107.8919,38.491722,1440 N Townsend Ave,,Montrose,CO,81401,5906,MONTROSE 
Walmart On The Go 5915,-104.96669,39.884991,1650 E 104th Ave,,Thornton,CO,80233,,ADAMS 
Maggie Mart,-105.5043,39.514503,2238 Shelton Dr,,Bailey,CO,80421,1450,PARK 
Beltran's Meat Market 1,-104.97774,39.912865,11920 Washington St,,Northglenn,CO,80233,1141,ADAMS 
Love's Travel Stop 653,-102.78564,38.490276,15596 Highway 287,,Eads,CO,81036,,KIOWA 
7 ELEVEN 27213B,-104.79542,39.627575,16601 E Smoky Hill Rd,,Aurora,CO,80015,1764,ARAPAHOE 
Gas Plus,-105.06958,39.776649,6595 W 44th Ave,,Wheat Ridge,CO,80033,4735,JEFFERSON 
"Chavez Southwest Market, Llc",-106.00882,37.077202,611 Main St,,Antonito,CO,81120,53,CONEJOS 
Amraj Inc,-104.99667,39.86388,9201 Huron St,,Thornton,CO,80260,5495,ADAMS 
Farm Fresh Milk Store,-104.9854,39.580574,250 E Dry Creek Rd,Ste 201,Littleton,CO,80122,2625,ARAPAHOE 
"Colorado Fresh Markets, Inc.",-105.22573,39.756195,1019 10th St,,Golden,CO,80401,1100,JEFFERSON 
Maverik 482,-108.51351,39.062847,2902 D Rd,,Grand Junction,CO,81504,8604,MESA 
Kum & Go 684,-104.78299,38.960373,2422 Research Pkwy,,Colorado Springs,CO,80920,1081,EL PASO 
7 ELEVEN 22596C,-105.08826,40.173592,840 Lashley St,,Longmont,CO,80504,5140,WELD 
Sam's Club 4853,-104.87788,39.4175,5940 Promenade Pkwy,,Castle Rock,CO,80108,1904,DOUGLAS 
Whole Foods Market 10622,-105.13069,40.146152,1250 S Hover St,Ste 300,Longmont,CO,80501,7990,BOULDER 
